GAME_ID,HOME_CLOSING_SPREAD
0022200756,-10.0
0022200758,1.0
0022200763,-5.5
0022200759,5.0
0022200762,-2.0
0022200760,5.0
0022200761,-10.5
0022200765,-2.0
0022200764,-4.0
0022200768,-7.0
0022200766,2.5
0022200767,-11.0
0022200772,-9.0
0022200770,-10.5
0022200771,-6.0
0022200775,7.5
0022200777,-1.0
0022200774,5.5
0022200773,6.0
0022200776,-2.5
0022200778,2.5
0022200780,3.0
0022200782,-5.0
0022200783,-6.5
0022200784,-4.0
0022200779,-6.5
0022200781,-6.5
0022200790,-5.5
0022200791,10.5
0022200788,-10.0
0022200787,-4.5
0022200786,1.5
0022200792,-1.0
0022200789,7.5
0022200785,1.0
0022200798,-1.0
0022200797,-6.0
0022200794,5.0
0022200796,-3.0
0022200801,-10.0
0022200800,-10.5
0022200799,-10.0
0022200795,2.5
0022200793,1.0
0022200802,-2.0
0022200804,4.5
0022200807,2.0
0022200803,4.0
0022200806,-8.5
0022200805,-1.5
0022200815,4.5
0022200812,7.0
0022200811,-9.5
0022200808,9.5
0022200809,3.5
0022200813,-9.5
0022200810,8.5
0022200814,-3.0
0022200820,-8.0
0022200816,1.5
0022200817,7.0
0022200818,-1.0
0022200819,-9.5
0022200821,-7.0
0022200828,-8.5
0022200825,-6.5
0022200824,-2.5
0022200827,8.5
0022200826,-10.5
0022200829,-8.0
0022200830,-2.5
0022200822,-8.5
0022200823,-3.5
0022200834,8.0
0022200832,-8.0
0022200833,2.5
0022200831,5.0
0022200845,2.0
0022200841,-6.5
0022200837,-7.0
0022200836,-2.5
0022200835,-6.0
0022200842,3.0
0022200844,-4.5
0022200840,-12.0
0022200843,-2.5
0022200839,-8.5
0022200838,-10.5
0022200853,-5.5
0022200848,1.5
0022200849,-5.5
0022200846,2.0
0022200850,-12.5
0022200852,-6.5
0022200854,1.5
0022200847,7.0
0022200851,-5.5
0022200855,-3.5
0022200856,-11.5
0022200867,-2.0
0022200865,-5.5
0022200862,-3.0
0022200863,-4.0
0022200858,-16.0
0022200857,5.5
0022200864,-3.0
0022200861,-1.0
0022200860,-14.0
0022200859,1.0
0022200866,-3.5
0022200868,-7.5
0022200870,-2.5
0022200869,-9.5
0022200871,-8.0
0022200872,1.5
0022200878,-1.5
0022200876,-4.0
0022200873,-5.5
0022200875,-2.0
0022200882,-4.5
0022200874,-3.0
0022200881,-6.0
0022200880,-9.5
0022200879,-11.5
0022200877,-12.0
0022200883,8.0
0022200885,1.0
0022200884,-3.5
0022200894,-11.0
0022200891,-14.0
0022200887,8.0
0022200890,-4.5
0022200886,-3.0
0022200893,-6.0
0022200892,-1.0
0022200889,-3.5
0022200888,-8.0
0022200897,-5.5
0022200900,-2.0
0022200895,-1.0
0022200902,-6.0
0022200896,-1.0
0022200901,-8.5
0022200899,-9.0
0022200898,-7.0
0022200904,6.5
0022200905,-2.5
0022200909,-10.5
0022200908,1.0
0022200906,-4.0
0022200907,-3.0
0022200903,7.5
0022200913,-4.5
0022200916,-2.0
0022200911,-6.5
0022200910,-3.0
0022200915,4.0
0022200917,-9.5
0022200918,-4.0
0022200914,-7.5
0022200912,-5.5
0022200920,-5.5
0022200922,-4.5
0022200921,2.0
0022200919,-7.0
0022200927,-9.0
0022200924,6.5
0022200932,-6.5
0022200929,-8.5
0022200931,-5.0
0022200928,2.5
0022200930,-9.5
0022200925,-4.5
0022200926,12.0
0022200923,-7.5
0022200940,-3.0
0022200937,-8.0
0022200939,-8.0
0022200936,-4.0
0022200933,10.5
0022200935,-5.0
0022200941,-3.0
0022200934,6.5
0022200938,10.5
0022200944,4.5
0022200943,-3.0
0022200945,3.0
0022200942,2.0
0022200955,1.5
0022200948,-10.0
0022200949,-1.5
0022200946,3.75
0022200950,3.5
0022200947,-8.0
0022200953,-5.0
0022200954,-7.0
0022200951,-1.5
0022200952,-6.0
0022200961,-4.0
0022200960,-4.5
0022200958,-3.0
0022200959,1.0
0022200956,2.5
0022200957,-16.5
0022200973,6.0
0022200969,-6.5
0022200963,-5.5
0022200962,2.0
0022200966,-3.0
0022200967,-4.5
0022200964,5.0
0022200968,-6.5
0022200970,-7.0
0022200965,-8.0
0022200972,6.0
0022200977,4.5
0022200974,-2.5
0022200971,-8.0
0022200976,-4.5
0022200975,-6.0
0022200978,2.5
0022200981,6.5
0022200980,-3.0
0022200982,4.0
0022200983,-10.5
0022200984,1.0
0022200769,11.0
0022200979,-10.0
0022200986,-9.5
0022200985,3.0
0022200987,1.0
0022200989,-8.75
0022200988,2.5
0022200990,-11.5
0022200991,-2.5
0022200995,-9.5
